split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
12,Random Forest,Stage 1 only,0.0,0,0.85,0.9527777777777778,0.847457627118644,0.8620689655172413,0.8333333333333334,0.8666666666666667,26,4,5,25
12,Random Forest,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.976111111111111,0.9354838709677419,0.90625,0.9666666666666667,0.9,27,3,1,29
12,Random Forest,Cascade,0.38333333333333336,23,0.9333333333333333,0.9722222222222222,0.9354838709677419,0.90625,0.9666666666666667,0.9,27,3,1,29
12,XGBoost,Stage 1 only,0.0,0,0.85,0.9366666666666668,0.847457627118644,0.8620689655172413,0.8333333333333334,0.8666666666666667,26,4,5,25
12,XGBoost,Stage 1 + Stage 2,1.0,60,0.9,0.9644444444444444,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
12,XGBoost,Cascade,0.2,12,0.8833333333333333,0.9311111111111111,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
13,Logistic Regression,Stage 1 only,0.0,0,0.85,0.9655555555555555,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
13,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9733333333333334,0.9375,0.8823529411764706,1.0,0.8666666666666667,26,4,0,30
13,Logistic Regression,Cascade,0.2,12,0.95,0.9944444444444445,0.9523809523809523,0.9090909090909091,1.0,0.9,27,3,0,30
13,Random Forest,Stage 1 only,0.0,0,0.9166666666666666,0.9661111111111111,0.9206349206349206,0.8787878787878788,0.9666666666666667,0.8666666666666667,26,4,1,29
13,Random Forest,Stage 1 + Stage 2,1.0,60,0.9,0.9727777777777777,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
13,Random Forest,Cascade,0.38333333333333336,23,0.9,0.9711111111111111,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
13,XGBoost,Stage 1 only,0.0,0,0.8,0.9333333333333333,0.8,0.8,0.8,0.8,24,6,6,24
